year,race_label,lei,approved_count,denied_count,legal_name
2022,Black,549300HW662MN1WU8550,262200.0,41492.0,"UNITED WHOLESALE MORTGAGE, LLC"
2022,White,549300HW662MN1WU8550,3411033.0,246075.0,"UNITED WHOLESALE MORTGAGE, LLC"
2022,Black,549300MGPZBLQDIL7538,93780.0,10980.0,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
2022,White,549300MGPZBLQDIL7538,1446411.0,78744.0,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
2022,White,549300VZVN841I2ILS84,1193145.0,17085.0,"CROSSCOUNTRY MORTGAGE, LLC"
2022,Asian,7H6GLXDRUGQFU57RNE97,229494.0,21114.0,"JPMorgan Chase Bank, National Association"
2022,Asian,B4TYDEB6GKMZO031MB27,,,"Bank of America, National Association"
2022,Black,B4TYDEB6GKMZO031MB27,90048.0,22512.0,"Bank of America, National Association"
2022,White,B4TYDEB6GKMZO031MB27,,,"Bank of America, National Association"
2022,Asian,KB1H1DSPRFMYMCUFXT09,257350.0,57800.0,"Wells Fargo Bank, National Association"
2022,Black,KB1H1DSPRFMYMCUFXT09,,,"Wells Fargo Bank, National Association"
2022,White,KB1H1DSPRFMYMCUFXT09,979506.0,154785.0,"Wells Fargo Bank, National Association"
2022,White,SS1TRMSN6BRNMOREEV51,,,"Flagstar Bank, National Association"
2023,Black,5493003GQDUH26DNNH17,,,NAVY FEDERAL CREDIT UNION
2023,Asian,549300FGXN1K3HLB1R50,349150.0,46100.0,"ROCKET MORTGAGE, LLC"
2023,Black,549300FGXN1K3HLB1R50,158286.0,29164.0,"ROCKET MORTGAGE, LLC"
2023,White,549300FGXN1K3HLB1R50,1629960.0,170136.0,"ROCKET MORTGAGE, LLC"
2023,Asian,549300HW662MN1WU8550,685899.0,65127.0,"UNITED WHOLESALE MORTGAGE, LLC"
2023,Black,549300HW662MN1WU8550,278428.0,45778.0,"UNITED WHOLESALE MORTGAGE, LLC"
2023,White,549300HW662MN1WU8550,3477639.0,251175.0,"UNITED WHOLESALE MORTGAGE, LLC"
2023,White,549300MGPZBLQDIL7538,1088136.0,34017.0,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
2023,Black,549300VZVN841I2ILS84,67956.0,2604.0,"CROSSCOUNTRY MORTGAGE, LLC"
2023,White,549300VZVN841I2ILS84,1110525.0,16167.0,"CROSSCOUNTRY MORTGAGE, LLC"
2023,Asian,7H6GLXDRUGQFU57RNE97,212400.0,21264.0,"JPMorgan Chase Bank, National Association"
2023,Black,7H6GLXDRUGQFU57RNE97,88236.0,13072.0,"JPMorgan Chase Bank, National Association"
2023,White,7H6GLXDRUGQFU57RNE97,865929.0,74307.0,"JPMorgan Chase Bank, National Association"
2023,Asian,B4TYDEB6GKMZO031MB27,132264.0,28160.0,"Bank of America, National Association"
2023,Black,B4TYDEB6GKMZO031MB27,75399.0,22591.0,"Bank of America, National Association"
2023,White,B4TYDEB6GKMZO031MB27,,,"Bank of America, National Association"
2023,Asian,KB1H1DSPRFMYMCUFXT09,146311.0,24957.0,"Wells Fargo Bank, National Association"
2023,Black,KB1H1DSPRFMYMCUFXT09,,,"Wells Fargo Bank, National Association"
2023,White,KB1H1DSPRFMYMCUFXT09,,,"Wells Fargo Bank, National Association"
2023,White,SS1TRMSN6BRNMOREEV51,,,"Flagstar Bank, National Association"
2024,Black,5493003GQDUH26DNNH17,,,NAVY FEDERAL CREDIT UNION
2024,Asian,549300FGXN1K3HLB1R50,438400.0,55600.0,"ROCKET MORTGAGE, LLC"
2024,Black,549300FGXN1K3HLB1R50,203300.0,33950.0,"ROCKET MORTGAGE, LLC"
2024,White,549300FGXN1K3HLB1R50,1991805.0,221748.0,"ROCKET MORTGAGE, LLC"
2024,Asian,549300HW662MN1WU8550,695947.0,60074.0,"UNITED WHOLESALE MORTGAGE, LLC"
2024,Black,549300HW662MN1WU8550,307622.0,48216.0,"UNITED WHOLESALE MORTGAGE, LLC"
2024,White,549300HW662MN1WU8550,3490440.0,248472.0,"UNITED WHOLESALE MORTGAGE, LLC"
2024,White,549300MGPZBLQDIL7538,901068.0,24378.0,FAIRWAY INDEPENDENT MORTGAGE CORPORATION
2024,Black,549300VZVN841I2ILS84,85976.0,4268.0,"CROSSCOUNTRY MORTGAGE, LLC"
2024,White,549300VZVN841I2ILS84,1278621.0,20859.0,"CROSSCOUNTRY MORTGAGE, LLC"
2024,Asian,6BYL5QZYBDK8S7L73M02,172935.0,12870.0,U.S. Bank National Association
2024,Asian,7H6GLXDRUGQFU57RNE97,268200.0,26900.0,"JPMorgan Chase Bank, National Association"
2024,Black,7H6GLXDRUGQFU57RNE97,123711.0,16985.0,"JPMorgan Chase Bank, National Association"
2024,White,7H6GLXDRUGQFU57RNE97,1069062.0,97767.0,"JPMorgan Chase Bank, National Association"
2024,Asian,B4TYDEB6GKMZO031MB27,137170.0,21500.0,"Bank of America, National Association"
2024,Black,B4TYDEB6GKMZO031MB27,74256.0,19110.0,"Bank of America, National Association"
2024,White,B4TYDEB6GKMZO031MB27,,,"Bank of America, National Association"
2024,Asian,KB1H1DSPRFMYMCUFXT09,,,"Wells Fargo Bank, National Association"
2024,White,SS1TRMSN6BRNMOREEV51,,,"Flagstar Bank, National Association"
